emd_nm,base_year_month,base_year_month(sub),em_cnt,em_g,pay_amt
건입동,2018년 01월,2018년 1월,18416,45646550,1364804
건입동,2018년 02월,2018년 2월,17491,42953550,1284216
건입동,2018년 03월,2018년 3월,19396,46422450,1387853
건입동,2018년 04월,2018년 4월,19179,42438700,1268331
건입동,2018년 05월,2018년 5월,21277,44893300,1341494
건입동,2018년 06월,2018년 6월,23311,48187900,1439810
건입동,2018년 07월,2018년 7월,28626,57478250,1717202
건입동,2018년 08월,2018년 8월,26842,52553750,1569931
건입동,2018년 09월,2018년 9월,25510,49888000,1490285
건입동,2018년 10월,2018년 10월,23042,45417700,1426422
건입동,2018년 11월,2018년 11월,20791,42954200,1283438
건입동,2018년 12월,2018년 12월,20161,47652200,1424551
건입동,2019년 01월,2019년 1월,19741,46571200,1392203
건입동,2019년 02월,2019년 2월,18910,46934900,1403269
건입동,2019년 03월,2019년 3월,18966,43272850,1293420
건입동,2019년 04월,2019년 4월,18991,41103100,1228391
건입동,2019년 05월,2019년 5월,21797,45366000,1355574
건입동,2019년 06월,2019년 6월,23387,47155800,1408848
건입동,2019년 07월,2019년 7월,26082,54400500,1625503
건입동,2019년 08월,2019년 8월,26561,50759250,1516091
건입동,2019년 09월,2019년 9월,24806,47534600,1419870
건입동,2019년 10월,2019년 10월,22040,40734600,1216507
건입동,2019년 11월,2019년 11월,20387,40990100,1224609
건입동,2019년 12월,2019년 12월,19300,43076900,1287491
건입동,2020년 01월,2020년 1월,20359,45356150,1355578
건입동,2020년 02월,2020년 2월,18554,40314100,1204862
건입동,2020년 03월,2020년 3월,19812,40335450,1205108
건입동,2020년 04월,2020년 4월,18703,36668950,1095412
건입동,2020년 05월,2020년 5월,21611,40943550,1222972
건입동,2020년 06월,2020년 6월,20591,40283450,1203386
건입동,2020년 07월,2020년 7월,25261,46323350,1383433
건입동,2020년 08월,2020년 8월,25377,45467600,1357702
건입동,2020년 09월,2020년 9월,21173,35693200,1065579
건입동,2020년 10월,2020년 10월,21072,36567550,1091729
건입동,2020년 11월,2020년 11월,18837,35796000,1069165
건입동,2020년 12월,2020년 12월,18178,37884150,1131993
건입동,2021년 01월,2021년 1월,17467,36737750,1097802
건입동,2021년 02월,2021년 2월,13784,29397850,878538
건입동,2021년 03월,2021년 3월,16998,34167750,1020797
건입동,2021년 04월,2021년 4월,17780,35386850,1057232
건입동,2021년 05월,2021년 5월,20131,38047500,1136417
건입동,2021년 06월,2021년 6월,20296,36493300,1089760
구좌읍,2019년 11월,2019년 11월,593,2720350,81464
구좌읍,2019년 12월,2019년 12월,2942,11540750,345481
구좌읍,2020년 01월,2020년 1월,5800,21059800,630380
구좌읍,2020년 02월,2020년 2월,6097,19992650,598248
구좌읍,2020년 03월,2020년 3월,7258,22170750,663286
구좌읍,2020년 04월,2020년 4월,7488,21849950,653628
구좌읍,2020년 05월,2020년 5월,9516,27501450,822671
구좌읍,2020년 06월,2020년 6월,9180,25651800,767268
구좌읍,2020년 07월,2020년 7월,13077,37079550,1109175
구좌읍,2020년 08월,2020년 8월,14184,41169850,1231565
구좌읍,2020년 09월,2020년 9월,11770,31084150,929611
구좌읍,2020년 10월,2020년 10월,11513,31478700,941467
구좌읍,2020년 11월,2020년 11월,10253,30118550,901009
구좌읍,2020년 12월,2020년 12월,9802,26978450,806937
구좌읍,2021년 01월,2021년 1월,9025,25143650,752046
구좌읍,2021년 02월,2021년 2월,8833,26678900,798152
구좌읍,2021년 03월,2021년 3월,10269,30919350,924985
구좌읍,2021년 04월,2021년 4월,11197,33131350,991154
구좌읍,2021년 05월,2021년 5월,12014,34451200,1030579
구좌읍,2021년 06월,2021년 6월,14031,37807150,1130748
남원읍,2018년 01월,2018년 1월,9570,42437700,1270773
남원읍,2018년 02월,2018년 2월,8588,37088050,1110498
남원읍,2018년 03월,2018년 3월,10072,42988350,1287127
남원읍,2018년 04월,2018년 4월,10001,42703500,1278681
남원읍,2018년 05월,2018년 5월,11153,42616750,1275783
남원읍,2018년 06월,2018년 6월,11733,42287450,1265691
남원읍,2018년 07월,2018년 7월,13599,49758400,1489365
남원읍,2018년 08월,2018년 8월,13714,49571700,1483730
남원읍,2018년 09월,2018년 9월,12365,45419400,1359493
남원읍,2018년 10월,2018년 10월,11662,44434300,1330102
남원읍,2018년 11월,2018년 11월,10756,45008000,1347620
남원읍,2018년 12월,2018년 12월,11501,48961900,1465999
남원읍,2019년 01월,2019년 1월,10629,45272000,1355508
남원읍,2019년 02월,2019년 2월,7080,27809150,832508
남원읍,2019년 03월,2019년 3월,4749,17810750,533149
남원읍,2019년 04월,2019년 4월,4902,16786800,502368
남원읍,2019년 05월,2019년 5월,12716,45550300,1363350
남원읍,2019년 06월,2019년 6월,16410,58575550,1752986
남원읍,2019년 07월,2019년 7월,18048,64063450,1916105
남원읍,2019년 08월,2019년 8월,19078,66347550,1983554
남원읍,2019년 09월,2019년 9월,17315,57377000,1715490
남원읍,2019년 10월,2019년 10월,16754,57174300,1710048
남원읍,2019년 11월,2019년 11월,15041,55376450,1656190
남원읍,2019년 12월,2019년 12월,14964,60409100,1806276
남원읍,2020년 01월,2020년 1월,15805,68767000,2056671
남원읍,2020년 02월,2020년 2월,14605,61501550,1838582
남원읍,2020년 03월,2020년 3월,16239,62658150,1871340
남원읍,2020년 04월,2020년 4월,15672,59824450,1786816
남원읍,2020년 05월,2020년 5월,17574,63544800,1898050
남원읍,2020년 06월,2020년 6월,18020,63109150,1884639
남원읍,2020년 07월,2020년 7월,19042,67019150,2002478
남원읍,2020년 08월,2020년 8월,19399,71615800,2141973
남원읍,2020년 09월,2020년 9월,16302,56561100,1691503
남원읍,2020년 10월,2020년 10월,15179,57684950,1725913
남원읍,2020년 11월,2020년 11월,12979,53573900,1603690
남원읍,2020년 12월,2020년 12월,14848,60576700,1813426
남원읍,2021년 01월,2021년 1월,14101,56595100,1694399
남원읍,2021년 02월,2021년 2월,13816,56178800,1681205
남원읍,2021년 03월,2021년 3월,14974,62602150,1873290
남원읍,2021년 04월,2021년 4월,15199,61957700,1853834
남원읍,2021년 05월,2021년 5월,16071,59816600,1789111
남원읍,2021년 06월,2021년 6월,17330,62927050,1882300
노형동,2018년 01월,2018년 1월,113990,265018400,7883340
노형동,2018년 02월,2018년 2월,103571,243744900,7286110
노형동,2018년 03월,2018년 3월,117835,268625650,8029649
노형동,2018년 04월,2018년 4월,116559,248898350,7438077
노형동,2018년 05월,2018년 5월,129778,259232500,7744843
노형동,2018년 06월,2018년 6월,138587,272193365,8131502
노형동,2018년 07월,2018년 7월,166509,327483750,9783283
노형동,2018년 08월,2018년 8월,159491,306231800,9147486
노형동,2018년 09월,2018년 9월,144302,259310550,7743748
노형동,2018년 10월,2018년 10월,134077,244370750,7297934
노형동,2018년 11월,2018년 11월,124342,246249750,7356747
노형동,2018년 12월,2018년 12월,123178,273200900,8165560
노형동,2019년 01월,2019년 1월,116979,260492900,7785696
노형동,2019년 02월,2019년 2월,111835,251290500,7510492
노형동,2019년 03월,2019년 3월,115276,249789350,7451348
노형동,2019년 04월,2019년 4월,115179,237397550,7080703
노형동,2019년 05월,2019년 5월,127025,249305400,7332524
노형동,2019년 06월,2019년 6월,133924,258025550,7707839
노형동,2019년 07월,2019년 7월,151462,295221200,8819321
노형동,2019년 08월,2019년 8월,152487,285216650,8518837
노형동,2019년 09월,2019년 9월,139536,253510600,7570769
노형동,2019년 10월,2019년 10월,129982,223797811,6681364
노형동,2019년 11월,2019년 11월,121182,230736200,6892263
노형동,2019년 12월,2019년 12월,117990,247186350,7386443
노형동,2020년 01월,2020년 1월,108198,234382600,7004780
노형동,2020년 02월,2020년 2월,112953,241766400,7225016
노형동,2020년 03월,2020년 3월,125089,255138700,7623245
노형동,2020년 04월,2020년 4월,116837,226073450,6753460
노형동,2020년 05월,2020년 5월,132995,249341150,7447431
노형동,2020년 06월,2020년 6월,122308,226997876,6731271
노형동,2020년 07월,2020년 7월,154741,278924650,8329441
노형동,2020년 08월,2020년 8월,161492,290691050,8681020
노형동,2020년 09월,2020년 9월,139314,232960150,6954576
노형동,2020년 10월,2020년 10월,135035,232088700,6929436
노형동,2020년 11월,2020년 11월,123836,231329350,6909285
노형동,2020년 12월,2020년 12월,127389,255413000,7630954
노형동,2021년 01월,2021년 1월,120758,247444300,7393542
노형동,2021년 02월,2021년 2월,108469,227399950,6795260
노형동,2021년 03월,2021년 3월,115113,232733500,6953675
노형동,2021년 04월,2021년 4월,110768,212851000,6358341
노형동,2021년 05월,2021년 5월,123524,227061100,6781308
노형동,2021년 06월,2021년 6월,133924,239069250,7139202
대륜동,2018년 01월,2018년 1월,21666,57612600,1676850
대륜동,2018년 02월,2018년 2월,19252,51722150,1513367
대륜동,2018년 03월,2018년 3월,21567,57214850,1681467
대륜동,2018년 04월,2018년 4월,21424,55609050,1634928
대륜동,2018년 05월,2018년 5월,22382,53686150,1591674
대륜동,2018년 06월,2018년 6월,22734,52926700,1571745
대륜동,2018년 07월,2018년 7월,26787,63629950,1845498
대륜동,2018년 08월,2018년 8월,26246,60656200,1756266
대륜동,2018년 09월,2018년 9월,23877,50863500,1471947
대륜동,2018년 10월,2018년 10월,22438,48485050,1400208
대륜동,2018년 11월,2018년 11월,21689,50041200,1443596
대륜동,2018년 12월,2018년 12월,21606,54002100,1593933
대륜동,2019년 01월,2019년 1월,20265,52272200,1545297
대륜동,2019년 02월,2019년 2월,17234,41752800,1231580
대륜동,2019년 03월,2019년 3월,15630,35447200,1043436
대륜동,2019년 04월,2019년 4월,14778,31985850,940809
대륜동,2019년 05월,2019년 5월,19665,44419200,1311684
대륜동,2019년 06월,2019년 6월,21529,45993650,1357397
대륜동,2019년 07월,2019년 7월,27006,61582250,1823602
대륜동,2019년 08월,2019년 8월,27051,60755300,1798886
대륜동,2019년 09월,2019년 9월,24430,52395650,1549657
대륜동,2019년 10월,2019년 10월,23606,49536650,1466479
대륜동,2019년 11월,2019년 11월,22345,50189350,1484372
대륜동,2019년 12월,2019년 12월,21921,55227750,1633171
대륜동,2020년 01월,2020년 1월,21953,57458199,1698951
대륜동,2020년 02월,2020년 2월,21164,53111950,1569011
대륜동,2020년 03월,2020년 3월,23648,56525400,1671571
대륜동,2020년 04월,2020년 4월,22566,51090800,1505634
대륜동,2020년 05월,2020년 5월,24730,57743441,2566208
대륜동,2020년 06월,2020년 6월,23663,53387563,2029213
대륜동,2020년 07월,2020년 7월,21926,49049300,1463149
대륜동,2020년 08월,2020년 8월,21378,48610200,1450405
대륜동,2020년 09월,2020년 9월,18609,38982000,1162942
대륜동,2020년 10월,2020년 10월,17296,37333600,1113819
대륜동,2020년 11월,2020년 11월,15613,36899550,1100683
대륜동,2020년 12월,2020년 12월,17194,42350750,1262989
대륜동,2021년 01월,2021년 1월,17589,44229050,1319090
대륜동,2021년 02월,2021년 2월,16256,41473600,1237515
대륜동,2021년 03월,2021년 3월,17931,45509750,1357737
대륜동,2021년 04월,2021년 4월,18317,44380900,1324745
대륜동,2021년 05월,2021년 5월,20159,46104350,1375720
대륜동,2021년 06월,2021년 6월,20790,46745900,1393974
대정읍,2018년 01월,2018년 1월,10185,38885550,1164122
대정읍,2018년 02월,2018년 2월,9530,36731400,1099621
대정읍,2018년 03월,2018년 3월,11087,43941150,1315494
대정읍,2018년 04월,2018년 4월,11311,41431100,1240205
대정읍,2018년 05월,2018년 5월,12810,43391800,1298609
대정읍,2018년 06월,2018년 6월,13202,44202200,1322775
대정읍,2018년 07월,2018년 7월,13985,50247200,1503933
대정읍,2018년 08월,2018년 8월,15985,53799900,1610055
대정읍,2018년 09월,2018년 9월,15276,50900300,1523162
대정읍,2018년 10월,2018년 10월,13956,47706650,1427723
대정읍,2018년 11월,2018년 11월,13481,49818000,1491190
대정읍,2018년 12월,2018년 12월,12238,52109450,1559839
대정읍,2019년 01월,2019년 1월,15727,59920500,1792834
대정읍,2019년 02월,2019년 2월,17555,64507450,1929205
대정읍,2019년 03월,2019년 3월,20864,74448950,2226436
대정읍,2019년 04월,2019년 4월,22208,76326749,2282592
대정읍,2019년 05월,2019년 5월,28406,89408798,2673269
대정읍,2019년 06월,2019년 6월,29856,94718850,2832294
대정읍,2019년 07월,2019년 7월,29752,99189650,2966150
대정읍,2019년 08월,2019년 8월,36484,105859200,3163967
대정읍,2019년 09월,2019년 9월,22135,51079250,1524478
대정읍,2019년 10월,2019년 10월,29849,77633150,2318561
대정읍,2019년 11월,2019년 11월,33506,99774700,2981811
대정읍,2019년 12월,2019년 12월,30188,102687000,3070106
대정읍,2020년 01월,2020년 1월,30696,104173150,3113333
대정읍,2020년 02월,2020년 2월,31001,97979349,2928064
대정읍,2020년 03월,2020년 3월,32870,103538750,3093839
대정읍,2020년 04월,2020년 4월,31888,95039599,2839668
대정읍,2020년 05월,2020년 5월,37916,110405348,3299551
대정읍,2020년 06월,2020년 6월,36214,103177347,3082455
대정읍,2020년 07월,2020년 7월,34439,99259041,2965260
대정읍,2020년 08월,2020년 8월,40025,108944848,3251131
대정읍,2020년 09월,2020년 9월,38067,92630549,2760795
대정읍,2020년 10월,2020년 10월,36538,96266900,2851291
대정읍,2020년 11월,2020년 11월,34724,100047750,2938732
대정읍,2020년 12월,2020년 12월,35493,107058050,3194754
대정읍,2021년 01월,2021년 1월,35084,105314800,3148492
대정읍,2021년 02월,2021년 2월,32472,99042750,2961654
대정읍,2021년 03월,2021년 3월,36061,105467100,3153248
대정읍,2021년 04월,2021년 4월,35556,101782450,3043155
대정읍,2021년 05월,2021년 5월,42373,113929800,3405235
대정읍,2021년 06월,2021년 6월,41806,109850800,3271828
대천동,2018년 01월,2018년 1월,20280,53858550,1593709
대천동,2018년 02월,2018년 2월,17523,44956800,1337892
대천동,2018년 03월,2018년 3월,19840,49992600,1489066
대천동,2018년 04월,2018년 4월,18862,42731250,1270763
대천동,2018년 05월,2018년 5월,20853,43830200,1301723
대천동,2018년 06월,2018년 6월,21954,45078650,1336915
대천동,2018년 07월,2018년 7월,25030,53081150,1574140
대천동,2018년 08월,2018년 8월,25032,52218200,1549444
대천동,2018년 09월,2018년 9월,23196,45676250,1351333
대천동,2018년 10월,2018년 10월,21978,44132850,1310707
대천동,2018년 11월,2018년 11월,20457,43982200,1286078
대천동,2018년 12월,2018년 12월,20550,47963050,1406049
대천동,2019년 01월,2019년 1월,18865,45113300,1319285
대천동,2019년 02월,2019년 2월,14844,36020500,1047644
대천동,2019년 03월,2019년 3월,12703,29641700,860628
대천동,2019년 04월,2019년 4월,12674,28034650,821240
대천동,2019년 05월,2019년 5월,20250,41796850,1233263
대천동,2019년 06월,2019년 6월,22971,46918200,1392702
대천동,2019년 07월,2019년 7월,29065,62889962,1874913
대천동,2019년 08월,2019년 8월,29686,62450130,1859211
대천동,2019년 09월,2019년 9월,27059,55161400,1643849
대천동,2019년 10월,2019년 10월,26275,51590000,1538099
대천동,2019년 11월,2019년 11월,24704,53151631,1584999
대천동,2019년 12월,2019년 12월,23135,53564700,1597133
대천동,2020년 01월,2020년 1월,23785,58420100,1742931
대천동,2020년 02월,2020년 2월,22735,53765750,1603740
대천동,2020년 03월,2020년 3월,25061,57795350,1723274
대천동,2020년 04월,2020년 4월,23923,51288700,1528880
대천동,2020년 05월,2020년 5월,26363,55578850,1656863
대천동,2020년 06월,2020년 6월,25899,54499299,1625207
대천동,2020년 07월,2020년 7월,27126,56585581,1686982
대천동,2020년 08월,2020년 8월,31292,66506000,1959986
대천동,2020년 09월,2020년 9월,29059,56779450,1671122
대천동,2020년 10월,2020년 10월,27287,57481400,1694438
대천동,2020년 11월,2020년 11월,26015,57841350,1703284
대천동,2020년 12월,2020년 12월,27298,62836650,1848309
대천동,2021년 01월,2021년 1월,26239,62019900,1836310
대천동,2021년 02월,2021년 2월,23585,56333000,1679618
대천동,2021년 03월,2021년 3월,25623,59499550,1774752
대천동,2021년 04월,2021년 4월,24561,53705700,1601545
대천동,2021년 05월,2021년 5월,27284,58341550,1739063
대천동,2021년 06월,2021년 6월,26836,56178400,1674289
도두동,2018년 01월,2018년 1월,5338,14694200,439510
도두동,2018년 02월,2018년 2월,4940,14004850,418870
도두동,2018년 03월,2018년 3월,5648,15804550,472743
도두동,2018년 04월,2018년 4월,5572,14904200,445722
도두동,2018년 05월,2018년 5월,6253,15476250,462740
도두동,2018년 06월,2018년 6월,6760,16682350,498785
도두동,2018년 07월,2018년 7월,8109,19566250,585020
도두동,2018년 08월,2018년 8월,7809,18073950,540275
도두동,2018년 09월,2018년 9월,7408,16785750,501748
도두동,2018년 10월,2018년 10월,6888,16677600,499828
도두동,2018년 11월,2018년 11월,6403,15927400,476200
도두동,2018년 12월,2018년 12월,6233,16824600,503216
도두동,2019년 01월,2019년 1월,5913,15314350,457942
도두동,2019년 02월,2019년 2월,5621,14416750,431093
도두동,2019년 03월,2019년 3월,5700,15020400,449211
도두동,2019년 04월,2019년 4월,5888,15270900,456657
도두동,2019년 05월,2019년 5월,6704,16476700,492655
도두동,2019년 06월,2019년 6월,7195,16892650,504994
도두동,2019년 07월,2019년 7월,8407,20124150,601668
도두동,2019년 08월,2019년 8월,8766,20959850,626580
도두동,2019년 09월,2019년 9월,7896,18552500,554606
도두동,2019년 10월,2019년 10월,7376,18124000,541885
도두동,2019년 11월,2019년 11월,6909,18902350,565329
도두동,2019년 12월,2019년 12월,6527,17385050,519908
도두동,2020년 01월,2020년 1월,6581,18797900,562288
도두동,2020년 02월,2020년 2월,6079,16045750,479894
도두동,2020년 03월,2020년 3월,6373,16070150,480556
도두동,2020년 04월,2020년 4월,5890,14195400,424392
도두동,2020년 05월,2020년 5월,6872,16621200,496904
도두동,2020년 06월,2020년 6월,6829,16569750,495387
도두동,2020년 07월,2020년 7월,8482,20972600,627027
도두동,2020년 08월,2020년 8월,8578,21004750,627968
도두동,2020년 09월,2020년 9월,7432,16956300,506851
도두동,2020년 10월,2020년 10월,7681,18218650,544635
도두동,2020년 11월,2020년 11월,7114,18714300,559617
도두동,2020년 12월,2020년 12월,6863,17619050,526840
도두동,2021년 01월,2021년 1월,6898,17814850,532726
도두동,2021년 02월,2021년 2월,5969,15402250,460579
도두동,2021년 03월,2021년 3월,6681,17504100,523480
도두동,2021년 04월,2021년 4월,6926,17377150,519593
도두동,2021년 05월,2021년 5월,8298,19663550,587847
도두동,2021년 06월,2021년 6월,8749,19733350,589865
동홍동,2018년 01월,2018년 1월,45936,118701000,3501286
동홍동,2018년 02월,2018년 2월,43240,113812050,3355444
동홍동,2018년 03월,2018년 3월,46464,117711450,3467250
동홍동,2018년 04월,2018년 4월,42709,100217900,2955831
동홍동,2018년 05월,2018년 5월,45795,100885000,2971507
동홍동,2018년 06월,2018년 6월,49364,104634500,3074845
동홍동,2018년 07월,2018년 7월,58001,125812450,3700341
동홍동,2018년 08월,2018년 8월,54933,116500150,3422980
동홍동,2018년 09월,2018년 9월,50389,100407800,2934279
동홍동,2018년 10월,2018년 10월,46571,96178300,2815548
동홍동,2018년 11월,2018년 11월,44355,101432950,2983866
동홍동,2018년 12월,2018년 12월,43991,109345600,3239146
동홍동,2019년 01월,2019년 1월,32267,83674100,2476151
동홍동,2019년 02월,2019년 2월,21240,57549400,1704825
동홍동,2019년 03월,2019년 3월,11966,34358750,1021825
동홍동,2019년 04월,2019년 4월,11882,32622800,968296
동홍동,2019년 05월,2019년 5월,35644,81200750,2400433
동홍동,2019년 06월,2019년 6월,47193,103689750,3083745
동홍동,2019년 07월,2019년 7월,59933,135774149,4042666
동홍동,2019년 08월,2019년 8월,61215,134502400,4007463
동홍동,2019년 09월,2019년 9월,58112,125995299,3756475
동홍동,2019년 10월,2019년 10월,54550,114124900,3396919
동홍동,2019년 11월,2019년 11월,50938,116633800,3471068
동홍동,2019년 12월,2019년 12월,49347,123632700,3681748
동홍동,2020년 01월,2020년 1월,49731,132288450,3939798
동홍동,2020년 02월,2020년 2월,46334,122315350,3643758
동홍동,2020년 03월,2020년 3월,49689,122303100,3642445
동홍동,2020년 04월,2020년 4월,46209,107296750,3195453
동홍동,2020년 05월,2020년 5월,52324,120417978,4004644
동홍동,2020년 06월,2020년 6월,53363,121853705,3999253
동홍동,2020년 07월,2020년 7월,53571,114230800,3400625
동홍동,2020년 08월,2020년 8월,56313,115116700,3430406
동홍동,2020년 09월,2020년 9월,50515,98116600,2927933
동홍동,2020년 10월,2020년 10월,46279,93397850,2788398
동홍동,2020년 11월,2020년 11월,39548,88411450,2642520
동홍동,2020년 12월,2020년 12월,45999,106031300,3169520
동홍동,2021년 01월,2021년 1월,45790,107302450,3207633
동홍동,2021년 02월,2021년 2월,43531,103601250,3097236
동홍동,2021년 03월,2021년 3월,44732,101916400,3046301
동홍동,2021년 04월,2021년 4월,43687,93011250,2778522
동홍동,2021년 05월,2021년 5월,46424,94027400,2807843
동홍동,2021년 06월,2021년 6월,46479,86524400,2581670
봉개동,2018년 01월,2018년 1월,3709,10390450,310803
봉개동,2018년 02월,2018년 2월,3511,9991650,298897
봉개동,2018년 03월,2018년 3월,3851,10577250,316362
봉개동,2018년 04월,2018년 4월,3984,10487400,313668
봉개동,2018년 05월,2018년 5월,4727,11513550,344226
봉개동,2018년 06월,2018년 6월,5177,11721950,350348
봉개동,2018년 07월,2018년 7월,6289,14849800,443925
봉개동,2018년 08월,2018년 8월,6120,14493600,433257
봉개동,2018년 09월,2018년 9월,5883,13159300,393362
봉개동,2018년 10월,2018년 10월,5437,12044850,360001
봉개동,2018년 11월,2018년 11월,5042,12438750,371898
봉개동,2018년 12월,2018년 12월,6800,15268450,456378
봉개동,2019년 01월,2019년 1월,7395,15822450,472839
봉개동,2019년 02월,2019년 2월,7161,15840150,473422
봉개동,2019년 03월,2019년 3월,7373,15534700,464209
봉개동,2019년 04월,2019년 4월,7343,15217800,454669
봉개동,2019년 05월,2019년 5월,8453,16219600,484484
봉개동,2019년 06월,2019년 6월,8928,16879500,504178
봉개동,2019년 07월,2019년 7월,10208,20094100,600276
봉개동,2019년 08월,2019년 8월,9645,17698900,528605
봉개동,2019년 09월,2019년 9월,9301,16732150,499657
봉개동,2019년 10월,2019년 10월,8754,14864800,443781
봉개동,2019년 11월,2019년 11월,8296,15031050,448860
봉개동,2019년 12월,2019년 12월,7950,15966250,477011
봉개동,2020년 01월,2020년 1월,8060,16561850,494851
봉개동,2020년 02월,2020년 2월,7796,15622400,466748
봉개동,2020년 03월,2020년 3월,8563,15780450,471281
봉개동,2020년 04월,2020년 4월,8157,14598650,435924
봉개동,2020년 05월,2020년 5월,9086,15886600,474318
봉개동,2020년 06월,2020년 6월,8841,16575149,495062
봉개동,2020년 07월,2020년 7월,10706,18891000,564058
봉개동,2020년 08월,2020년 8월,10745,19456900,581081
봉개동,2020년 09월,2020년 9월,9477,15629750,466536
봉개동,2020년 10월,2020년 10월,9248,15425650,460453
봉개동,2020년 11월,2020년 11월,8097,14457800,431744
봉개동,2020년 12월,2020년 12월,8207,15685200,468528
봉개동,2021년 01월,2021년 1월,7966,15180900,453441
봉개동,2021년 02월,2021년 2월,6496,12899650,385384
봉개동,2021년 03월,2021년 3월,7480,13873900,414359
봉개동,2021년 04월,2021년 4월,7564,13278500,396462
봉개동,2021년 05월,2021년 5월,9026,15601950,465787
봉개동,2021년 06월,2021년 6월,9426,16048700,479157
삼도1동,2018년 01월,2018년 1월,28427,71078500,2125206
삼도1동,2018년 02월,2018년 2월,27127,68419050,2045801
삼도1동,2018년 03월,2018년 3월,29721,73542800,2198903
삼도1동,2018년 04월,2018년 4월,29402,66869550,1998767
삼도1동,2018년 05월,2018년 5월,32645,68054150,2033445
삼도1동,2018년 06월,2018년 6월,35688,72919400,2178646
삼도1동,2018년 07월,2018년 7월,43475,87997000,2629071
삼도1동,2018년 08월,2018년 8월,41888,84322600,2519212
