"tpbuz_cd","tpbuz_nm","load_dtm","cent_cd"
"3302",L P G,"20191211202632",BBP10
"1002","1급 호텔","20191211202632",BBP10
"1001",특급 호텔,"20191211202632",BBP10
"1003","2급 호텔","20191211202632",BBP10
"1010",콘도,"20191211202632",BBP10
"1020",기타숙박업,"20191211202632",BBP10
"1021",여관/기타숙박업(할부),"20191211202632",BBP10
"1101",항 공 사,"20191211202632",BBP10
"1110",관광여행,"20191211202632",BBP10
"1120",고속 버스,"20191211202632",BBP10
"1121",철도,"20191211202632",BBP10
"1122",여 객 선,"20191211202632",BBP10
"1123",택시,"20191211202632",BBP10
"1124",택시회사,"20191211202632",BBP10
"1130",렌 트 카,"20191211202632",BBP10
"1199",기타교통수단,"20191211202632",BBP10
"2001",골프 용품,"20191211202632",BBP10
"2002",스포츠레져용품,"20191211202632",BBP10
"2003",총포류판매,"20191211202632",BBP10
"2010",악 기 점,"20191211202632",BBP10
"2011",피아노대리점,"20191211202632",BBP10
"2020",DVD/음반/테이프판매,"20191211202632",BBP10
"2021",비디오점,"20191211202632",BBP10
"2029",기타음반제품,"20191211202632",BBP10
"2101",골프경기장,"20191211202632",BBP10
"2102",골프연습장,"20191211202632",BBP10
"2103",카지노,"20191211202632",BBP10
"2104",스크린골프,"20191211202632",BBP10
"2110",스 키 장,"20191211202632",BBP10
"2111",볼 링 장,"20191211202632",BBP10
"2112",테니스 장,"20191211202632",BBP10
"2113",수 영 장,"20191211202632",BBP10
"2114",헬스 크럽,"20191211202632",BBP10
"2120",종합레져타운,"20191211202632",BBP10
"2121",당구장,"20191211202632",BBP10
"2130",노래방,"20191211202632",BBP10
"2199",기타레져업,"20191211202632",BBP10
"2201",골동품 점,"20191211202632",BBP10
"2202",화랑,"20191211202632",BBP10
"2203",골동품점(할부),"20191211202632",BBP10
"2204",화랑(할부),"20191211202632",BBP10
"2210",화방표구점,"20191211202632",BBP10
"2215",민예공예품,"20191211202632",BBP10
"2220",수 족 관,"20191211202632",BBP10
"2230",화원,"20191211202632",BBP10
"2240",애완 동물,"20191211202632",BBP10
"2250",영화관,"20191211202632",BBP10
"2251",티켓,"20191211202632",BBP10
"2299",문화취미기타,"20191211202632",BBP10
"3001",일반 가구,"20191211202632",BBP10
"3002",철제 가구,"20191211202632",BBP10
"3099",기타가구,"20191211202632",BBP10
"3101",가전 제품,"20191211202632",BBP10
"3102",냉열 기기,"20191211202632",BBP10
"3199",기타전기제품,"20191211202632",BBP10
"3201",주방 용구,"20191211202632",BBP10
"3202",주방용식기,"20191211202632",BBP10
"3210",정 수 기,"20191211202632",BBP10
"3299",기타주방용구,"20191211202632",BBP10
"3301",주 유 소,"20191211202632",BBP10
"3303",연탄 판매,"20191211202632",BBP10
"3304",유류 판매,"20191211202632",BBP10
"3305",SK주유소,"20191211202632",BBP10
"3306",SK가스충전소,"20191211202632",BBP10
"3307",GS주유소,"20191211202632",BBP10
"3308",현대정유오일뱅크,"20191211202632",BBP10
"3309",쌍용S-OIL주유소,"20191211202632",BBP10
"3310",인천정유 주유소,"20191211202632",BBP10
"3311",GS가스충전소,"20191211202632",BBP10
"3312",현대정유가스충전소,"20191211202632",BBP10
"3313",쌍용S-oil가스충전소,"20191211202632",BBP10
"3314",인천정유가스충전소,"20191211202632",BBP10
"3315",E1가스충전소,"20191211202632",BBP10
"3321",전기차충전소,"20191211202632",BBP10
"3399",기타연료,"20191211202632",BBP10
"3401",카 메 라,"20191211202632",BBP10
"3402",사진관,"20191211202632",BBP10
"3499",기타광학품,"20191211202632",BBP10
"4001",일반백화점,"20191211202632",BBP10
"4002",자사카드발행백화점,"20191211202632",BBP10
"4004",대형할인점,"20191211202632",BBP10
"4010",편 의 점,"20191211202632",BBP10
"4020",슈퍼 마켓,"20191211202632",BBP10
"4021",연 쇄 점,"20191211202632",BBP10
"4030",보훈 매점,"20191211202632",BBP10
"4031",복지 매점,"20191211202632",BBP10
"4040",면 세 점,"20191211202632",BBP10
"4050",농축수산가공품,"20191211202632",BBP10
"4051",농협식품점,"20191211202632",BBP10
"4060",통신판매1,"20191211202632",BBP10
"4061",CATV홈쇼핑,"20191211202632",BBP10
"4062",통신판매2,"20191211202632",BBP10
"4070",인터넷전자상거래1,"20191211202632",BBP10
"4072",인터넷전자상거래2,"20191211202632",BBP10
"4076",인터넷 P/G,"20191211202632",BBP10
"4077",인터넷종합Mall,"20191211202632",BBP10
"4078",인터넷Mall,"20191211202632",BBP10
"4080",상품권,"20191211202632",BBP10
"4081",상품권 전문판매,"20191211202632",BBP10
"4083",전자상거래 상품권,"20191211202632",BBP10
"4084",전자상거래 상품권 전문판매,"20191211202632",BBP10
"4085",PG상품권,"20191211202632",BBP10
"4098",기타쇼핑점,"20191211202632",BBP10
"4099",기타유통업,"20191211202632",BBP10
"4101",공무원연금매점,"20191211202632",BBP10
"4110",농/축협직영매장,"20191211202632",BBP10
"4111",농협하나로클럽,"20191211202632",BBP10
"4120",사원 매점,"20191211202632",BBP10
"4121",구내매점(국가기관등),"20191211202632",BBP10
"4122",구내 매점-1,"20191211202632",BBP10
"4130",농수축협직판,"20191211202632",BBP10
"4140",대우사내판매,"20191211202632",BBP10
"4199",기타비영리유통,"20191211202632",BBP10
"4201",정장(남성),"20191211202632",BBP10
"4202",정장(여성),"20191211202632",BBP10
"4203",아동의류,"20191211202632",BBP10
"4204",양 품 점,"20191211202632",BBP10
"4205",내의판매점,"20191211202632",BBP10
"4206",와이셔츠/타이,"20191211202632",BBP10
"4207",캐쥬얼의류,"20191211202632",BBP10
"4208",스포츠의류,"20191211202632",BBP10
"4209",단체복,"20191211202632",BBP10
"4210",맞춤복 점,"20191211202632",BBP10
"4299",기타의류,"20191211202632",BBP10
"4301",옷감 직물,"20191211202632",BBP10
"4302",카페트/커텐/천막/지물,"20191211202632",BBP10
"4303",침구수예점,"20191211202632",BBP10
"4304",혼수전문점,"20191211202632",BBP10
"4399",기타직물,"20191211202632",BBP10
"4401",가방,"20191211202632",BBP10
"4410",시계,"20191211202632",BBP10
"4411",귀 금 속,"20191211202632",BBP10
"4412",악세 사리,"20191211202632",BBP10
"4413",안경,"20191211202632",BBP10
"4414",귀금속(할부),"20191211202632",BBP10
"4420",제 화 점,"20191211202632",BBP10
"4421",신발,"20191211202632",BBP10
"4430",기념품 점,"20191211202632",BBP10
"4481",성인용품점,"20191211202632",BBP10
"4499",기타잡화,"20191211202632",BBP10
"5001",일반 서적,"20191211202632",BBP10
"5002",전문 서적,"20191211202632",BBP10
"5003",정기간행물,"20191211202632",BBP10
"5010",출판인쇄물,"20191211202632",BBP10
"5020",교육테이프,"20191211202632",BBP10
"5030",문구용 품,"20191211202632",BBP10
"5040",과학기자재,"20191211202632",BBP10
"5050",완 구 점,"20191211202632",BBP10
"5099",기타서적문구,"20191211202632",BBP10
"5101",외국어학원,"20191211202632",BBP10
"5102",기능학원,"20191211202632",BBP10
"5103",컴퓨터학원,"20191211202632",BBP10
"5104",예체능학원,"20191211202632",BBP10
"5105",보습학원,"20191211202632",BBP10
"5106",학습지교육,"20191211202632",BBP10
"5120",대학등록금,"20191211202632",BBP10
"5121",초중고교육기관,"20191211202632",BBP10
"5122",유치원,"20191211202632",BBP10
"5123",유아원,"20191211202632",BBP10
"5129",대학등록금(특약),"20191211202632",BBP10
"5191",독서실,"20191211202632",BBP10
"5192",유학원,"20191211202632",BBP10
"5199",기타 교육,"20191211202632",BBP10
"5201",컴 퓨 터,"20191211202632",BBP10
"5202",사무 기기,"20191211202632",BBP10
"5210",통신 기기,"20191211202632",BBP10
"5211",통신기기무이자할부,"20191211202632",BBP10
"5280",전자(상우회),"20191211202632",BBP10
"5299",기타사무용,"20191211202632",BBP10
"6001",국산 신차,"20191211202632",BBP10
"6002",중고자동차,"20191211202632",BBP10
"6003",수입자동차,"20191211202632",BBP10
"6004",이륜차판매,"20191211202632",BBP10
"6005",중고자동차위탁판매,"20191211202632",BBP10
"6099",기타 운송,"20191211202632",BBP10
"6101",자동차시트/타이어,"20191211202632",BBP10
"6102",자동차부품,"20191211202632",BBP10
"6103",윤활유전문판매,"20191211202632",BBP10
"6110",자동차정비,"20191211202632",BBP10
"6111",국산신차직영부품/정비업소,"20191211202632",BBP10
"6112",중장비수리,"20191211202632",BBP10
"6120",카인테리어,"20191211202632",BBP10
"6130",세 차 장,"20191211202632",BBP10
"6140",주 차 장,"20191211202632",BBP10
"6150",견인서비스,"20191211202632",BBP10
"6199",기타자동차서비스,"20191211202632",BBP10
"6201",생명 보험,"20191211202632",BBP10
"6210",손해 보험,"20191211202632",BBP10
"6299",기타보험,"20191211202632",BBP10
"7001",종합병원,"20191211202632",BBP10
"7010",병원(응급실운영),"20191211202632",BBP10
"7011",한방병원(응급실운영),"20191211202632",BBP10
"7012",치과병원(응급실운영),"20191211202632",BBP10
"7013",병원(응급실미운영),"20191211202632",BBP10
"7014",한방병원,"20191211202632",BBP10
"7015",치과병원,"20191211202632",BBP10
"7016",신경정신과,"20191211202632",BBP10
"7017",안과,"20191211202632",BBP10
"7018",치과,"20191211202632",BBP10
"7020",의원,"20191211202632",BBP10
"7021",한의원,"20191211202632",BBP10
"7022",치과의원,"20191211202632",BBP10
"7029",기타,"20191211202632",BBP10
"7030",건강진단,"20191211202632",BBP10
"7031",한의원,"20191211202632",BBP10
"7032",한약방,"20191211202632",BBP10
"7040",제약회사,"20191211202632",BBP10
"7041",약국,"20191211202632",BBP10
"7042",한약방,"20191211202632",BBP10
"7043",조산원,"20191211202632",BBP10
"7044",산후조리원,"20191211202632",BBP10
"7050",동물병원,"20191211202632",BBP10
"7060",건강진단,"20191211202632",BBP10
"7099",기타의료기관 및 기타의료기기,"20191211202632",BBP10
"7101",이 용 원,"20191211202632",BBP10
"7102",미 용 원,"20191211202632",BBP10
"7103",피부미용실,"20191211202632",BBP10
"7104",안경(정회원),"20191211202632",BBP10
"7105",안경,"20191211202632",BBP10
"7110",화 장 품,"20191211202632",BBP10
"7111",미용 재료,"20191211202632",BBP10
"7112",의료 용품,"20191211202632",BBP10
"7120",사우나,"20191211202632",BBP10
"7121",안마/스포츠마사지,"20191211202632",BBP10
"7199",기타대인서비스,"20191211202632",BBP10
"8001",일반한식,"20191211202632",BBP10
"8002",갈비전문점,"20191211202632",BBP10
"8003",한정식,"20191211202632",BBP10
"8004",일식회집,"20191211202632",BBP10
"8005",중국음식,"20191211202632",BBP10
"8006",서양음식,"20191211202632",BBP10
"8010",칵테일바,"20191211202632",BBP10
"8011",룸싸롱,"20191211202632",BBP10
"8012",나이트클럽,"20191211202632",BBP10
"8013",주점,"20191211202632",BBP10
"8021",스넥,"20191211202632",BBP10
"8031",위탁급식업,"20191211202632",BBP10
"8101",유흥주점,"20191211202632",BBP10
"8102",유흥주점(갈비전문점),"20191211202632",BBP10
"8103",유흥주점(한정식),"20191211202632",BBP10
"8104",유흥주점(일식회집),"20191211202632",BBP10
"8105",유흥주점(중국음식),"20191211202632",BBP10
"8106",유흥주점(일반양식스테이크),"20191211202632",BBP10
"8110",유흥주점(스넥칵테일),"20191211202632",BBP10
"8111",유흥주점(룸싸롱),"20191211202632",BBP10
"8112",유흥주점(나이트클럽),"20191211202632",BBP10
"8113",유흥주점(맥주홀),"20191211202632",BBP10
"8201",단란주점,"20191211202632",BBP10
"8202",단란주점(갈비전문점),"20191211202632",BBP10
"8203",단란주점(한정식),"20191211202632",BBP10
"8204",단란주점(일식/횟집),"20191211202632",BBP10
"8205",단란주점(중국음식),"20191211202632",BBP10
"8206",단란주점(일반양식/스테이크),"20191211202632",BBP10
"8210",단란주점(스텍칵테일),"20191211202632",BBP10
"8211",단란주점(룸싸롱),"20191211202632",BBP10
"8212",단란주점(나이트클럽),"20191211202632",BBP10
"8213",단란주점(맥주홀),"20191211202632",BBP10
"8301",제 과 점,"20191211202632",BBP10
"8302",정 육 점,"20191211202632",BBP10
"8303",주류판매점,"20191211202632",BBP10
"8305",제과점(음식점경영),"20191211202632",BBP10
"8310",농축수산품,"20191211202632",BBP10
"8320",미곡상,"20191211202632",BBP10
"8399",기타음료식품,"20191211202632",BBP10
"8401",홍삼 제품,"20191211202632",BBP10
"8402",인삼 제품,"20191211202632",BBP10
"8499",기타건강식,"20191211202632",BBP10
"8501",일반한식(할부),"20191211202632",BBP10
"8502",갈비전문점(할부),"20191211202632",BBP10
"8503",한정식(할부),"20191211202632",BBP10
"8504",일식회집(할부),"20191211202632",BBP10
"8505",중국음식(할부),"20191211202632",BBP10
"8506",일반양식스테이크(할부),"20191211202632",BBP10
"8510",스넥칵테일(할부),"20191211202632",BBP10
"8511",룸싸롱(할부),"20191211202632",BBP10
"8512",나이트클럽(할부),"20191211202632",BBP10
"8513",맥주홀(할부),"20191211202632",BBP10
"9001",보일러펌프,"20191211202632",BBP10
"9002",건축요업품,"20191211202632",BBP10
"9003",조명 기구,"20191211202632",BBP10
"9004",페 인 트,"20191211202632",BBP10
"9005",유리,"20191211202632",BBP10
"9006",목재/석재/철물,"20191211202632",BBP10
"9010",인테 리어,"20191211202632",BBP10
"9020",부동산분양,"20191211202632",BBP10
"9099",기타건축자재,"20191211202632",BBP10
"9101",종합용역,"20191211202632",BBP10
"9110",가례서비스,"20191211202632",BBP10
"9111",혼례서비스,"20191211202632",BBP10
"9120",보관창고업,"20191211202632",BBP10
"9121",화물 운송,"20191211202632",BBP10
"9130",사무서비스,"20191211202632",BBP10
"9131",정보서비스,"20191211202632",BBP10
"9132",법률회계서비스(개인),"20191211202632",BBP10
"9133",부동산중개/임대,"20191211202632",BBP10
"9134",소프트웨어,"20191211202632",BBP10
"9135",법률회계서비스(법인),"20191211202632",BBP10
"9140",공공 요금,"20191211202632",BBP10
"9141",공공요금/대상,"20191211202632",BBP10
"9149",통신서비스/비대상,"20191211202632",BBP10
"9150",통신서비스,"20191211202632",BBP10
"9151",CATV,"20191211202632",BBP10
"9152",무선호출기,"20191211202632",BBP10
"9153",이동통신요금,"20191211202632",BBP10
"9154",위성방송,"20191211202632",BBP10
"9160",조세서비스,"20191211202632",BBP10
"9161",조세서비스(특약),"20191211202632",BBP10
"9170",자동차경매,"20191211202632",BBP10
"9180",자체물품대금,"20191211202632",BBP10
"9199",기타용역서비스,"20191211202632",BBP10
"9201",레져용품수리,"20191211202632",BBP10
"9202",가정용품수리,"20191211202632",BBP10
"9203",신변잡화수리,"20191211202632",BBP10
"9204",사무통신기기수리,"20191211202632",BBP10
"9210",세탁소,"20191211202632",BBP10
"9299",기타수리서비스,"20191211202632",BBP10
"9301",레져업소(회원제형태),"20191211202632",BBP10
"9302",자동차서비스(회원제형태),"20191211202632",BBP10
"9303",사무서비스(회원제형태),"20191211202632",BBP10
"9304",서적출판(회원제형태),"20191211202632",BBP10
"9305",학원(회원제형태),"20191211202632",BBP10
"9306",건강식품(회원제형태),"20191211202632",BBP10
"9395",기타회원제형태업소1,"20191211202632",BBP10
"9396",기타회원제형태업소2,"20191211202632",BBP10
"9397",기타회원제형태업소3,"20191211202632",BBP10
"9398",기타회원제형태업소4,"20191211202632",BBP10
"9399",기타회원제형태업소5,"20191211202632",BBP10
"9501",통신판매(생활서비스),"20191211202632",BBP10
"9510",통신판매(일반),"20191211202632",BBP10
"9601",농기계,"20191211202632",BBP10
"9602",비료/농약/사료/종자,"20191211202632",BBP10
"9699",기타농업관련,"20191211202632",BBP10
"9801",일반자판기,"20191211202632",BBP10
"9802",담배자판기,"20191211202632",BBP10
"9803",공공자판기,"20191211202632",BBP10
"9901",기계 공구,"20191211202632",BBP10
"9910",비 영 리,"20191211202632",BBP10
"9911",비영리/비대상,"20191211202632",BBP10
"9921",P2P송금,"20191211202632",BBP10
"9931",사업자미등록개인,"20191211202632",BBP10
"9992",외국인전용가맹점,"20191211202632",BBP10
"9993",외국인전용가맹점,"20191211202632",BBP10
"9995",비씨카드정산용,"20191211202632",BBP10
"9996",비씨카드정산용(할인),"20191211202632",BBP10
"9998",기타전문점,"20191211202632",BBP10
"9999",기타업종,"20191211202632",BBP10
